date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
11/15/2017,"Strength","QoD: Do you use dryer sheets?1a) Barbell Rows: Accumulate 60 Reps, AHAP. Rest 90s.- Accumulate the first 30 reps with a pronated grip and the last 30 with a supinated grip.1b) Perform 10 Slow and Controlled Banded Pushdowns between sets.2) Warm-up Pull-ups for Metcon",155,"155","Load","","[{""success"":true,""load"":155},{""success"":true}]","",SCALED,
11/15/2017,"Metcon","4 Rounds, each for time:18/15 Calorie Row15 Box Jumps w. step down (24, 20)12 Push Press (135, 95)9 Pull-upsRest 60s.*Score = slowest splitL3: (115, 75)L2: (20, 15) (95, 65) (Band Assisted)L1: (20, 15 Step-ups) (65, 35) (Ring Rows)20:00 Cap",354,"5:54","Time","","[{""secs"":54,""mins"":5}]","105lb press",SCALED,
11/17/2017,"Back Squat 6x4","QoD: How did you meet your most recent significant other?Back Squat for load: #1: 4 reps #2: 4 reps #3: 4 reps #4: 4 reps #5: 4 reps #6: 4 reps1) Speed Back Squats: 6 x 4 @75%, every 60-90s.2) Warm-up Bear Complex",170,"170","Load","Back Squat","[{""success"":true,""load"":170},{""success"":true,""load"":170},{""success"":true,""load"":170},{""success"":true,""load"":170},{""success"":true,""load"":170},{""success"":true,""load"":170}]","",RX,
11/17/2017,"Bear Grylls","In 7:00400 Meter RunRemaining time: Max Bear Complex (135, 95)- Squat Clean Thruster + Back Squat Thruster*Score = total reps.L3: (115, 75)L2: (95, 65)L1: (75, 55)Beginner Option: DB Man Makers",14,"14","Reps","","[{""reps"":14}]","105 lbs",SCALED,
11/18/2017,"Custom Workout","QoD: Rainbows or unicorns?With a running clock with a partner:0:00-10:0020 SDHP (53, 35)20 Wallballs (20, 14)200 Meter Run12:00-22:0020 T2B20 Medball Cleans (20, 14)200 Meter Run24:00-34:0020 Burpees20 Air Squats200 Meter RunL2: (45, 25) (14, 10)L1: (35, 25) (10, 8)",9.027,"9+27","Rounds + Reps","","[{""rnds"":9,""reps"":27}]","",RX,
11/20/2017,"Strength","QoD: What are your Thanksgiving plans?Squat Clean Set: Build to a heavy 1.1 (10s). Rest 2:00- Take 8-10 total sets including warm-up sets.- 1.1 are clusters where you rest 10s between singles.- Adv: Build to 85-90% of 1RM.- Beginners: Spend 20 minutes working technique or sub Front Squat from a rack performing sets of 5.",135,"135","Load","","[{""success"":true,""load"":135}]","",RX,
11/20/2017,"Southie","""Southie""For time:45 Deadlifts (155, 105)30 Hang Power Cleans (155, 105)15 Squat Cleans (155, 105)L3: (135, 95)L2: (115, 75)L1: (95, 65)10:00 CapBeginner Option:AMRAP 8:8 Deadlifts (135, 95)8 Goblet Squats (53, 35)8 Squat Thrusts",536,"8:56","Time","","[{""secs"":56,""mins"":8}]","95lbs",SCALED,
11/22/2017,"Strength","QoD: What is ONE healthy choice you can promise to make this Thanksgiving?1a) Close Grip Floor Press: 3RM. Rest 2:00- Take 5-6 sets and build to a 3RM.- Beginner: 5 x 5, using one moderate weight for all 5 ""work-sets""1b) Banded Pull-apart: In between sets perform 10-15 Slow and Controlled Banded Pull-aparts.",165,"165","Load","","[{""success"":true,""load"":165}]","",RX,
11/22/2017,"Metcon","Each for time:3 RFT:20 KBS (53, 35)20 BurpeesRest 5:003 RFT:20 SDHP (53, 35)20 Box Jump w. Step Down (24, 20)L2: (45, 25) (20, 15)L1: (Russian Swing 35, 25) (10-15 Burpees per round) (Alternating Step-ups)20:00 Cap",427,"7:07","Time","","[{""secs"":7,""mins"":7},{""secs"":13,""mins"":7}]","",RX,
11/24/2017,"ABBATE","QoD: Have you ever done the whole Black Friday shopping thing?For time:Run 1 Mile21 Clean + Jerks (155, 105)Run 800 Meters21 Clean + JerksRun 1 MileL3: (135, 95)L2: (115, 75)L1: (95, 65)Beginner Options for Clean + JerksEach round of Clean + Jerks substitute 30 Deadlifts + 20 Squat Thrusts*Alternate Options:1 Mile Run = 1600m Row or 7:00 Bike or Ski Erg",1940,"32:20","Time","","[{""secs"":20,""mins"":32}]","",SCALED,PR
11/25/2017,"Partner AMRAP","QoD: Regarding NEXT Thanksgiving, what do you plan to do the same & what do you plan to change?AMRAP 30 with a partner:100 Wallballs (20, 14)80 Abmat Sit-ups60 Burpees40 Alt. DB Snatch (50, 30)20 DB Front Squats (50, 30)*After each completed round each athlete completes 2 Rope ClimbsL2: (14, 10) (35, 25) (10 Pull-ups per Rope Climb any style)L1: (10, 8) (25, 20) (10 Ring Rows per rope Climb)",1.141,"1+141","Rounds + Reps","","[{""rnds"":1,""reps"":141}]","",RX,
11/27/2017,"Strength","QoD: Which are you looking forward to most: Christmas/Hanukkah or New Years Eve?- Strength: Focus on perfect technique with power snatch + OHS keeping loads light, but if comfortable build to 75% of 1RM. The intent today is strength/accessory work, but sled-work will double as recovery/aerobic power work.1) Power Snatch + Overhead Squat: 4 x 2 + 2, adding weight each set if form permits. Rest 90s.2) Sumo RDL: 4 x 8-10, AHAP. Rest 90s.3) Goblet Walking Lunges: 3 x 8 ea. Rest 60s.4) Farmer Carry: Accumulate 300 meters (70, 53). Rest as needed.",155,"155","Load","","[{""success"":true,""load"":135},{""success"":true,""load"":145},{""success"":true,""load"":155},{""success"":true,""load"":155}]","",SCALED,
11/27/2017,"GPP","5 Rounds of:60 Yard Sledpull Powerwalk Forward. Rest 60s.*Athlete choice of weights. Attach sled straps to belt.*Alternate Options:4 Rounds of:15 Russian Swings (70, 53)15 Goblet Squats (70, 53)*Not for time. Rest as needed.",145,"145","Load","","[{""success"":true,""load"":145}]","",SCALED,
11/29/2017,"Strength","- Strength: The intent today is use last weeks 3RM and perform 9 sets for speed work. You will pause for a 1 count on each rep just to ensure we are not ""jamming"" our elbows into the floor and break up the phases of the lift.QoD: What job would you be terrible at?1a) Speed Floor Press: 9 x 3, every 60s @60% of Last weeks 3RM or a moderate weight.- Pause for a 1 count on each rep.- Change Grip every 3 sets ie. close, medium, wide, close- Take 3-4 sets to build to work weight.- Beginner: 6 x 4, using one moderate weight for all 5 ""work-sets"" (slightly heavier than last week)1b) Banded Pull-apart: In between sets perform 10-15 Slow and Controlled Banded Pull-aparts.",155,"155","Load","","[{""success"":true,""load"":155}]","",RX,
11/29/2017,"CP","- Metcon: Todays metcon is all about pacing since the movement pattern is complex and cause you to redline if you do not go out slowly. Shoot for 4-5 reps every 60s and augment your pace from there.""CP""For time:30 Curtis Ps (135, 95)*1 Power Clean + 1 Front Rack Forward Lunge ea + 1 Push PressL3: (115, 75)L2: (95, 65)L1: (75, 55)*Beginner Option3 RFT:10 Deadlifts (95, 65)20 Walking Lunges30 Single Unders10:00 Cap",600,"10:00","Time","","[{""secs"":0,""mins"":10}]","L2 95# 26 reps",SCALED,
11/30/2017,"Metcon","5 RFT:10 Goblet Squats (53, 35)10 T2B10 Wallballs (20, 14)10 Calorie BikeL2: (45, 25) (Knee lifts) (14, 10)L1: (35, 25) (Knee Lifts) (10, 8)15:00 CapAlternate Scaling:10 Calorie Bike = 200m Run, 250m Row, 10 Calorie Ski Erg",900,"15:00","Time","","[{""secs"":0,""mins"":15}]","",RX,
11/30/2017,"Skill","QoD: What hobby would you get into if time and money weren’t an issue?Oly Skill Work*Pick 1 Movement and Spend 15 minutes working on it.",95,"95","Other / Text","","[{""other"":""95""}]","Snatch ",RX,
12/02/2017,"Custom Workout","- Metcon: Todays workout is all about finding a consistent row pace/sharing work volume strategy. The snatches are intended to be light so make sure you move the bar with authority for at least 15 UB Reps.QoD: What is the most annoying habit that other people have?AMRAP 33 w. a partner:1k Row100 Double Unders50 Power Snatch (75, 55)L2: (65, 35) (60s Double Under Attempts)L1: (Goblet Squats in place of Snatches 53, 35) (Single Unders)",489,"489","Reps","","[{""reps"":489}]","🤢",RX,
12/04/2017,"Strength","QoD: What songs have you completely memorized?- Strength: Today we are working on a new benchmark. The purpose of a multiple-pause squat is to solidify positions (below parallel/above parallel). Progressively add weight working to your heaviest single for the day.1) Multiple Pause Front Squat: 1RM. Rest 2:00- Pause below parallel for 1 count- Pause above parallel for 1 count*Beginner: Front Squat: 5 x 5, adding weight if form permits or Goblet Box Squat: 4 x 6-8. Rest 90s.2) Warm-up Power Cleans working above desired Metcon weight for sets of 3 touch n go. Rest 60s.",180,"180","Load","","[{""success"":true,""load"":180}]","",RX,
12/04/2017,"The Chief","""The Chief""AMRAP 3:3 Power Cleans (135, 95)6 Push-ups9 Air SquatsRest 1 minute. Repeat for a total of 5 cycles.*Score = Lowest AMRAP score.L3: (115, 75)L2: (95, 65) (Box Push-ups)L1: (95, 65 Deadlifts) (Box Push-ups)*Compare to Mon Aug 28th",3.017,"3+17","Rounds + Reps","","[{""rnds"":3,""reps"":17}]","Finally made RX on a power clean WOD. 😎💪🏼4444+13+17",RX,
12/06/2017,"Strength","QoD: Are you usually early or late?- Strength: If you were here last Wednesday try to add 5-10# to the weight used but still maintain bar-speed on each set. Make sure elbows stay tucked in. The intent here is lockout strength trained for dynamic effort (speed).1a) Speed Floor Press: 9 x 3, every 60s @65% of two weeks 3RM or a moderate weight.- +5% from last week.- Pause for a 1 count on each rep.- Change Grip every 3 sets ie. close, medium, wide, close- Take 3-4 sets to build to work weight.- Beginner: 6 x 4, using one moderate weight for all 5 ""work-sets"" (slightly heavier than last week)1b) Banded Pull-apart: In between sets perform 10-15 Slow and Controlled Banded Pull-aparts.",175,"175","Load","","[{""success"":true,""load"":175}]","",RX,
12/06/2017,"Metcon","- Metcon: The goal of todays Metcon is to sustain a 85-90% pace for each set. All rounds barbell work should be fast and completed UB. Choose a weight that will challenge you to dig in to complete all 10 front squats and 10 push presses without dropping the bar. You should have at least 90s of rest after each set. Every 4:00 x 5 Sets:10 Pull-ups10 Front Squats (135, 95)10 Push Press (135, 95)Rx+: (C2B Pull-ups)L3: (8 Band Assisted Pull-ups per round) (115, 75)L2: (8 Band Assisted Chin-ups per round) (95, 65)L1: (10 Ring Row per round) (65, 35)",75,"1:15","Time","","[{""secs"":15,""mins"":1},{""secs"":35,""mins"":1},{""secs"":30,""mins"":1},{""secs"":36,""mins"":1},{""secs"":45,""mins"":1}]","95lbs",SCALED,
12/08/2017,"Chuck Taylors","- Metcon: Benchmark workout that will challenge your lunges and hips. Try to complete UB reps for as long as possible with your deads but make sure youre staying neutral and not sacrificing your spine.AMRAP 8:10 Deadlifts (225, 155)10 BurpeesL3: (185, 125)L2: (155, 105)L1: (135, 95)*Compare to Aug 21",4.01,"4+10","Rounds + Reps","","[{""rnds"":4,""reps"":10}]","155lbs deadlift ",SCALED,
12/08/2017,"Strength","QoD: What’s your favorite drink?- Strength: Dynamic effort work today. Take 3-4 sets and build to work weight for box squat then perform sets of 3 every 60s. This should segue right into speed deadlifts performing 1 rep every 30s.1) Wide Stance Box Squat: 8 x 3 @60%, every 60s.- Use a 15"" Box (parallel)2) Speed Deadlift: 6 x 1 @70%, every 30s.- Beginner: Focus on technique, not speed for 3 sets x 5 reps per set. Rest 60s between sets.",175,"175","Load","","[{""success"":true,""load"":175},{""success"":true,""load"":155}]","",RX,
12/09/2017,"Girls Gone Wild","QoD: What have you only recently formed an opinion about?- Metcon: Todays workout is a great chance for you to communicate with your partner as strategy is key to getting the fastest time.In Teams of 2:1 Mile Run,Then""Karen""150 Wallballs (20, 14) (10, 9)""Isabel""30 Power Snatches (135, 95)""Grace""30 Clean and Jerks (135, 95)Then,1 Mile RunL3: (115, 75)L2: (14, 10) (95, 65)L1: (10, 8) (DB Snatch from Floor) (DB Push Press for Clean and Jerk)40:00 CapAlternate Scaling Options:1 Mile Run = 2k Row, 7:00 Bike or Ski Erg",1706,"28:26","Time","","[{""secs"":26,""mins"":28}]","95lbs",SCALED,
12/11/2017,"strength","QoD: What skill would you like to master?- Strength: The BB Glute bridge is a new movement today, but the intent is to directly target the glute max.1) Barbell Glute Bridge: 5 x 8, AHAP. Rest 60s.- 1 Count squeeze at top2) Warm-up Heavy KBS/Goblet Squats: 3 x 3-5 of each. Rest 60s.",155,"155","Load","","[{""success"":true,""load"":155}]","",RX,
12/12/2017,"Metcon","QoD: Could you cut out added sugar for one week?- Metcon: On paper this workout probably doesnt look too bad, but the challenge is finding your pace. With the allotted rest you should be able to do so, but the rest intervals are not long enough to push your pace. Record total times from each round. Your score will be the slowest round.10 Minutes of:Pose Running Drills + Practice4 Rounds of:Run 400 MetersRest 30sRun 200 MetersRest 2:00Beginner:4 Rounds of:Run 200 metersRest 30sRun 100 MetersRest 2:00*Score = total time*Alternate Options4 Rounds of:Row 400 Meters, 60s Bike or Ski ErgRest 30sRow 200 meters, 30s Bike or Ski ErgRest 2:00",1166,"19:26","Time","","[{""secs"":26,""mins"":19}]","",RX,
12/15/2017,"Metcon","- Metcon: Todays metcon is going to challenge you in a new way. The use of DBs always provides a new challenge so you may want to evaluate your weight choices choosing lighter vs. heavier.In 4:00 Window:20 DB Power Cleans (50, 30)20 DB Thrusters (50, 30)Remaining time max rounds of:5 DB Thrusters5 BurpeesRest 4:00AMRAP 4:5 DB Thrusters5 Burpeees*Score = Final AMRAP ScoreL3: (40, 20)L2: (30, 15)L1: (25, 10) (Barbell Deadlifts for Power Cleans 95, 65)",4,"4","Rounds + Reps","","[{""rnds"":4,""reps"":0}]","25lb Db’s and still wanted to die. 🤮",SCALED,
12/16/2017,"Fight Gone Bad","QoD: What takes up too much of your time?- Metcon: Benchmark workout that is intended to be done with light loads. The goal here is to stay consistent as this is a high-rate of muscular deterioation type workout. Go light.""Fight Gone Bad""3 Rounds of:1:00 of Wallballs (20, 14)1:00 of Sumo deadlift high-pull (75, 55)1:00 of Box Jumps (20)1:00 of Push-press (75, 55)1:00 of Row (Calories)Rest 1:00L2: (65, 35) (14, 10) (20, 15)L1: (45, 25) (10, 8) (20, 15 Step-ups)*Score = total reps*Compare to Aug 26th ""Fight Night""Extra Credit if time permitsBand Volume Accumulation:50 Banded Hammer Curls100 Single arm banded pushdowns (50 each)10s Banded Pallof Iso Hold on each side after each set of Hammer Curls/Pushdowns",242,"242","Reps","","[{""reps"":242}]","",RX,
12/18/2017,"Zercher Squat","QoD: What are your Christmas Eve plans/traditions?1) Zercher Box Squat: 2RM. Rest 2:00- Use a 13-15"" Box.- Build to a 2RM in 6-8 sets.- Beginner: Heavy-ish set of 2.2) Overhead Squat: Work up to desired weight for metcon in 3-4 Sets.Strength: Take 6-7 sets and progressively build in a weight to a 2RM. Box height can be anywhere between 13-15 inches, but make sure athletes are sitting back on the back while staying engaged and then exploding up. Their number today will likely be comparable to their front squat 1RM.",195,"195","Load","","[{""success"":true,""load"":195}]","",RX,
12/18/2017,"Tunnel Vision","""Tunnel Vision""4 RFT:21 Wallballs (20, 14)15 Lateral Burpees over the Bar9 OHS (135, 95)L3: (115, 75)L2: (95, 65) (14, 10)L1: (75, 55) (10, 8)20:00 CapBeginner Metcon Option:4 RFT:15 Wallballs (10, 8)10 Burpees5 Russian Swings (Moderate weight).Rest 60s.COMPARE TO FEB 14th!",1200,"20:00","Time","","[{""secs"":0,""mins"":20}]","F.M.L 🤮",SCALED,
12/20/2017,"Strength","QoD: What game or movie universe would you most like to live in?- Strength: Work with a mdoerate load today or 75% of your 1RM Snatch. The weight you choose should be heavy enough to feel but light enough to practice perfect sets.Hang Power Snatch: 6 x 3 @75%. Rest 90s.- This is 6 ""work sets""- take 3-4 sets to build to a moderate weight.- Beginner: Light loads focusing on technique",95,"95","Load","","[{""success"":true,""load"":95}]","",RX,
12/20/2017,"Complex A","- Metcon: Complexes are very challenging in terms of the demand they place on the body. Be careful with not choosing the right load. You should be able to complete all movements without dropping.""Complex A""4 Rounds of:8 Hang Power Cleans (115, 75)8 Front Squats8 Push Press8 Back Squat8 Goodmornings8 BB RowsRest 2:00*All sets must be done without dropping the barRx+:(Add 4/2 Ring Muscle-ups after each completed round)L3: (95, 65)L2: (75, 55)L1: (65, 35)",817,"13:37","Time","","[{""secs"":37,""mins"":13}]","75",SCALED,
12/22/2017,"Strength","QoD: What age do you wish you could permanently be?- Strength: Final week of Box Squats. If you were fast last week add 5-10# to the bar. If you were not here then focus on being fast/efficient on each set. Final week of Speed pulls Deadlifts. All sets should be fast/efficient (done last two weeks ago). Work up to a challenging height of seated dynamic box jump.1) Wide Stance Box Squat: 6 x 3 @70%, every 60s.- Use a 15"" Box (parallel)2) Speed Pull Deadlifts: 6 x 1 @75%, every 30s.3) Seated Dynamic Box Jumps: Accumulate 25 jumps to a challenging height. Rest 60s.",40,"40","Other / Text","","[{""other"":""40""},{""other"":""40""},{""other"":""40""}]","185 squat215 deadlift ",RX,
12/22/2017,"Metcon","- Metcon: Todays workout you should be able to complete a minimum of 10 reps per set ie. big work sets, small rest sets.For time:60 Goblet Walking Lunges (53, 35)60 SDHP (53, 35)L2: (35, 25)L1: (25, 20)7:00 Cap",415,"6:55","Time","","[{""secs"":55,""mins"":6}]","",RX,
